Mã hiệu,Loại máy và thiết bị,Số ca năm,Định mức (%),Định mức (%),Định mức (%),"Định mức tiêu hao nhiên liệu, năng lượng (1ca)","Nhân công vận hành, điều khiển máy",Nguyên giá tham khảo (1.000 VND)
M104.0500,"Máy sàng rửa đá, sỏi - năng suất:",,,,,,,
M104.0501,35 m3/h,155,"18,0","7,60",5,76 kWh,1 nhân công vận hành,18.917
M104.0502,45 m3/h,155,"18,0","7,60",5,97 kWh,1 nhân công vận hành,23.618
M104.0600,Máy nghiền sàng đá di động - năng suất:,,,,,,,
M104.0601,20 m3/h,260,"18,0","8,60",5,315 kWh,2 nhân công vận hành,1.351.273
M104.0602,25 m3/h,260,"18,0","7,60",5,357 kWh,2 nhân công vận hành,1.766.194
M104.0603,125 m3/h,260,"18,0","7,60",5,630 kWh,2 nhân công vận hành,5.964.816
M104.0700,Máy nghiền đá thô - năng suất:,,,,,,,
M104.0701,14 m3/h,260,"18,0","8,60",5,134 kWh,2 nhân công vận hành,214.626
M104.0702,200 m3/h,260,"18,0","8,60",5,840 kWh,2 nhân công vận hành,1.831.774
M104.0710,Trạm nghiền đá - năng suất:,,,,,,,
M104.0714,250 T/h,260,"18,0","8,60",5,3341 kWh,2 nhân công vận hành,12.899.035
M104.0800,Trạm trộn bê tông asphan - năng suất:,,,,,,,
M104.0801,25 t/h,190,"15,0","5,70",5,210 kWh,3 nhân công vận hành,3.286.462
M104.0802,50 t/h,190,"15,0","5,70",5,300 kWh,3 nhân công vận hành,4.648.053
M104.0803,60 t/h,190,"15,0","5,70",5,324 kWh,4 nhân công vận hành,5.422.748
M104.0804,80 t/h,190,"15,0","5,50",5,384 kWh,5 nhân công vận hành,6.094.486
M104.0805,120 t/h,190,"15,0","5,50",5,714 kWh,5 nhân công vận hành,6.737.442
M105.0000,MÁY VÀ THIẾT BỊ THI CÔNG MẶT ĐƯỜNG BỘ,,,,,,,
M105.0100,Máy phun nhựa đường - công suất:,,,,,,,
M105.0101,190 cv,150,"13,0","5,60",6,57 lít diezel,1 nhân công vận hành + 1 lái xe,930.161
M105.0200,Máy rải hỗn hợp bê tông nhựa - năng suất:,,,,,,,
M105.0201,65 t/h,180,"14,0","6,40",5,34 lít diezel,2 nhân công vận hành,1.284.890
M105.0202,100 t/h,180,"14,0","6,40",5,50 lít diezel,2 nhân công vận hành,1.520.612
M105.0203,130 cv - 140 cv,180,"14,0","3,80",5,63 lít diezel,2 nhân công vận hành,2.991.351
M105.0204,Máy rải nhựa đường Micro- Asphalt tự hành,180,"14,0","3,80",5,"75,6 lít diezel",2 nhân công vận hành,11.150.596
M105.0301,Máy rải Novachip 170 cv,180,"14,0","3,80",5,79 lít diezel,2 nhân công vận hành,13.200.000
M105.0401,"Máy rải cấp phối đá dăm, năng suất 50 m3/h - 60 m3/h",180,"14,0","4,20",5,30 lít diezel,2 nhân công vận hành,2.043.419
M105.0402,Máy rải xi măng SW16TC (16m3),180,"14,0","5,60",6,57 lít diezel,2 nhân công vận hành,6.500.000
M105.0500,Máy cào bóc,,,,,,,
M105.0501,Máy cào bóc đường Wirtgen - 1000C,220,"16,0","5,80",5,92 lít diezel,2 nhân công vận hành,3.128.588
M105.0502,"Máy cào bóc tái sinh, Wigent 2400",180,"16,0","5,80",5,340 lít diezel,2 nhân công vận hành,24.432.515
M105.0503,"Máy cào bóc tái sinh, công suất > 450 HP",180,"16,0","5,80",5,523 lít diezel,2 nhân công vận hành,17.000.000
M105.0601,Thiết bị sơn kẻ vạch YHK 10A,200,"20,0","3,50",5,,1 nhân công vận hành,57.211
M105.0701,"Lò nấu sơn YHK 3A, lò nung keo",200,"17,0","3,60",5,11 lít diezel,1 nhân công vận hành,324.920
M105.0801,Máy rót mastic,200,"17,0","4,50",5,4 lít xăng,1 nhân công vận hành,34.166
M105.0901,Thiết bị nấu nhựa 500 lít,200,"25,0","10,0",5,,1 nhân công vận hành,45.516
M105.1001,Máy rải bê tông SP500,200,"14,0","4,20",5,73 lít diezel,2 nhân công vận hành,7.369.287
M106.0000,PHƯƠNG TIỆN VẬN TẢI ĐƯỜNG BỘ,,,,,,,
M106.0100,Ô tô vận tải thùng - trọng tải:,,,,,,,
M106.0101,"0,5 t",250,"18,0","6,20",6,5 lít xăng,1 lái xe,106.420
M106.0102,"1,5 t",250,"18,0","6,20",6,7 lít xăng,1 lái xe,157.562
M106.0103,2 t,250,"18,0","6,20",6,12 lít xăng,1 lái xe,183.212
M106.0104,"2,5 t",250,"17,0","6,20",6,13 lít xăng,1 lái xe,218.983
M106.0105,5 t,250,"17,0","6,20",6,25 lít diezel,1 lái xe,317.869
M106.0106,7 t,250,"17,0","6,20",6,31 lít diezel,1 lái xe,427.131
M106.0107,10 t,250,"16,0","6,20",6,38 lít diezel,1 lái xe,560.241
M106.0108,12 t,260,"16,0","6,20",6,41 lít diezel,1 lái xe,606.044
M106.0109,15 t,260,"16,0","6,20",6,46 lít diezel,1 lái xe,739.497
M106.0110,20 t,270,"14,0","5,40",6,56 lít diezel,1 lái xe,1.248.374
M106.0111,32 t,270,"14,0","5,40",6,62 lít diezel,1 lái xe,1.976.364
M106.0200,Ô tô tự đổ - trọng tải:,,,,,,,
M106.0201,"2,5 t",260,"17,0","7,50",6,19 lít xăng,1 lái xe,248.104
M106.0202,5 t,260,"17,0","7,50",6,41 lít diezel,1 lái xe,437.559
M106.0203,7 t,260,"17,0","7,30",6,46 lít diezel,1 lái xe,616.643
M106.0204,10 t,280,"17,0","7,30",6,57 lít diezel,1 lái xe,
M106.0205,12 t,280,"17,0","7,30",6,65 lít diezel,1 lái xe,812.415
M106.0206,15 t,300,"16,0","6,80",6,73 lít diezel,1 lái xe,1.035.410
M106.0207,20 t,300,"16,0","6,80",6,76 lít diezel,1 lái xe,1.540.447
M106.0208,22 t,300,"14,0","6,80",6,77 lít diezel,1 lái xe,1.802.194
M106.0209,25 t,340,"13,0","6,80",6,81 lít diezel,1 lái xe,2.341.396
M106.0210,27 t,340,"13,0","6,60",6,86 lít diezel,1 lái xe,2.505.849
M106.0300,Ô tô đầu kéo - công suất:,,,,,,,
M106.0301,150 cv,200,"13,0","4,90",6,30 lít diezel,1 lái xe,448.050
M106.0302,200 cv,200,"13,0","4,90",6,40 lít diezel,1 lái xe,618.750
M106.0303,255 cv,200,"12,0","4,40",6,51 lít diezel,1 lái xe,878.300
M106.0304,272 cv,260,"11,0","4,00",6,56 lít diezel,1 lái xe,1.079.950
M106.0305,360 cv,260,"11,0","3,80",6,68 lít diezel,1 lái xe,1.136.368
M106.0400,Ô tô chuyển trộn bê tông - dung tích thùng trộn:,,,,,,,
M106.0401,6 m3,260,"14,0","5,70",6,43 lít diezel,1 nhân công vận hành + 1 lái xe,884.645
M106.0402,"10,7 m3",260,"14,0","5,50",6,64 lít diezel,1 nhân công vận hành + 1 lái xe,2.176.758
M106.0403,"14,5 m3",260,"14,0","5,50",6,70 lít diezel,1 nhân công vận hành + 1 lái xe,2.966.930
M106.0500,Ô tô tưới nước - dung tích:,,,,,,,
M106.0501,4 m3,260,"13,0","4,80",6,20 lít diezel,1 lái xe,438.539
M106.0502,5 m3,260,"12,0","4,40",6,23 lít diezel,1 lái xe,497.469
M106.0503,6 m3,260,"12,0","4,40",6,24 lít diezel,1 lái xe,571.304
M106.0504,7 m3,260,"11,0","4,10",6,26 lít diezel,1 lái xe,688.248
M106.0505,9 m3,260,"11,0","4,10",6,27 lít diezel,1 lái xe,796.249
M106.0506,10 m3,260,"11,0","4,10",6,30 lít diezel,1 lái xe,866.135
M106.0507,16 m3,270,"11,0","4,10",6,35 lít diezel,1 lái xe,1.114.405
M106.0600,"Ô tô hút bùn, hút mùn khoan, dung tích:",,,,,,,
M106.0601,2 m3,260,"13,0","5,20",6,19 lít diezel,1 lái xe,435.615
M106.0602,3 m3,260,"13,0","5,20",6,27 lít diezel,1 lái xe,642.388
M106.0700,Ô tô bán tải - trọng tải:,,,,,,,
M106.0701,"1,5 t",250,"16,0","4,50",6,18 lít xăng,1 lái xe,359.717
M106.0800,Rơ mooc - trọng tải:,,,,,,,
M106.0801,15 t,240,"13,0","3,70",6,,,160.855
M106.0802,21t,240,"13,0","3,70",6,,,186.651
M106.0803,30 t,240,"13,0","3,10",6,,,251.560
M106.0804,40 t,240,"13,0","3,10",6,,,297.117
M106.0805,60 t,240,"13,0","3,10",6,,,333.817
M106.0806,100 t,240,"13,0","3,10",6,,,537.425
M106.0807,125 t,240,"13,0","3,10",6,,,601.973
M106.0900,Xe bồn chuyên dụng,,,,,,,
M106.0901,30 t,240,"13,0","3,10",6,93 lít diezel,1 lái xe,1.340.000
M106.0902,"Xe bồn 13-14m3 (chở bitum, polymer)",180,"14,0","5,60",6,35 lít diezel,1 nhân công vận hành + 1 lái xe,3.243.150
M106.0903,Ô tô cấp nhũ tương 5 m3,180,"12,0","4,40",6,23 lít diezel,1 lái xe,931.000
M106.1000,Ô tô phun sơn,,,,,,,
M106.1001,"19,7cv",180,"12,0","4,40",6,16 lít diezel 5 lít xăng,1 lái xe,4.895.800
M107.0000,MÁY KHOAN ĐẤT ĐÁ,,,,,,,
M107.0100,"Máy khoan đất đá, cầm tay - đường kính khoan:",,,,,,,
M107.0101,"D ≤ 42 mm (động cơ điện-1,2 kW)",240,"18,0","8,50",5,5 kWh,1 nhân công vận hành,13.471
M107.0102,D ≤ 42 mm (truyền động khí nén - chưa tính khí nén),240,"18,0","8,50",5,,1 nhân công vận hành,26.484
M107.0103,D ≤ 42 mm (khoan SIG - chưa tính khí nén),240,"18,0","6,50",5,,1 nhân công vận hành,126.804
M107.0104,Búa chèn (truyền động khí nén - chưa tính khí nén),240,"18,0","8,50",5,,1 nhân công vận hành,6.134
M107.0200,"Máy khoan xoay đập tự hành, khí nén (chưa tính khí nén) - đường kính khoan:",,,,,,,
M107.0201,D75-95 mm,270,"17,0","5,30",5,,2 nhân công vận hành,1.101.564
M107.0202,D105-110 mm,270,"17,0","5,30",5,,2 nhân công vận hành,1.376.725
M107.0300,"Máy khoan hầm tự hành, động cơ diezel - đường kính khoan:",,,,,,,
M107.0301,D 45 mm (2 cần - 147 cv),285,"13,0","3,90",6,84 lít diezel,2 nhân công vận hành,11.436.520
M107.0302,D 45 mm (3 cần - 255 cv),285,"13,0","3,90",6,138 lít diezel,2 nhân công vận hành,16.668.260
M107.0400,Máy khoan néo - độ sâu khoan:,,,,,,,
M107.0401,"H 3,5 m (80 cv)",285,"13,0","3,90",6,38 lít diezel,2 nhân công vận hành,12.651.359
M107.0500,"Máy khoan ROBBIN, đường kính khoan:",,,,,,,
M107.0501,"D 2,4 m (250 kW)",240,"13,0","3,20",6,675 kWh,2 nhân công vận hành,41.605.242
M107.0600,"Tổ hợp dàn khoan neo, công suất:",,,,,,,
M107.0601,9 kW,240,"18,0","1,80",6,16 kWh,1 nhân công vận hành,2.207.026
M107.0700,Máy khoan tạo lỗ neo gia cố mái ta luy:,,,,,,,
M107.0701,YG 60,250,"13,0","4,50",5,28 lít diezel,2 nhân công vận hành,1.043.321
M107.0800,Máy khoan dẫn chuyên dụng,,,,,,,
M107.0801,HCR1200-EDII,285,"13,0","5,20",5,332 lít diezel,1 nhân công vận hành,5.660.000
M107.0803,Máy khoan XY-1A (phục vụ công tác xây dựng),180,"10,0","5,00",5,"20,4 lít diezel",1 nhân công vận hành,102.500
M108.0000,MÁY VÀ THIẾT BỊ ĐỘNG LỰC,,,,,,,
M108.0100,Máy phát điện lưu động - công suất:,,,,,,,
M108.0101,"3,75 kVA",170,"13,0","4,20",5,2 lít diezel,1 nhân công vận hành,8.369
M108.0102,"6,25 kVA",170,"13,0","4,20",5,5 lít diezel,1 nhân công vận hành,28.433
M108.0103,"37,5 kVA",170,"12,0","3,90",5,24 lít diezel,1 nhân công vận hành,117.173
M108.0104,"62,5 kVA",170,"12,0","3,90",5,36 lít diezel,1 nhân công vận hành,172.893
M108.0105,"93,75 kVA",170,"11,0","3,60",5,45 lít diezel,1 nhân công vận hành,244.894
M108.0106,150kVA,170,"10,0","3,30",5,76 lít diezel,1 nhân công vận hành,320.678
M108.0107,250 kVA,170,"10,0","3,30",5,106 lít diezel,1 nhân công vận hành,335.697
M108.0200,"Máy nén khí, động cơ xăng - năng suất:",,,,,,,
M108.0201,120 m3/h,180,"11,0","5,00",5,14 lít xăng,1 nhân công vận hành,71.198
M108.0202,600 m3/h,180,"10,0","4,60",5,46 lít xăng,1 nhân công vận hành,374.105
M108.0300,"Máy nén khí, động cơ diezel - năng suất:",,,,,,,
M108.0301,120 m3/h,180,"11,0","5,40",5,14 lít diezel,1 nhân công vận hành,77.045
M108.0302,240 m3/h,180,"11,0","5,40",5,28 lít diezel,1 nhân công vận hành,156.842
M108.0303,360 m3/h,180,"11,0","5,40",5,35 lít diezel,1 nhân công vận hành,217.034
M108.0304,420 m3/h,180,"11,0","5,40",5,38 lít diezel,1 nhân công vận hành,281.811
M108.0305,540 m3/h,180,"11,0","5,40",5,44 lít diezel,1 nhân công vận hành,321.366
M108.0306,600 m3/h,180,"10,0","5,00",5,47 lít diezel,1 nhân công vận hành,410.793
M108.0307,660 m3/h,180,"10,0","5,00",5,50 lít diezel,1 nhân công vận hành,478.552
M108.0308,1200 m3/h,180,"10,0","3,90",5,75 lít diezel,1 nhân công vận hành,959.970
M108.0309,1260 m3/h,180,"10,0","3,50",5,78 lít diezel,1 nhân công vận hành,1.103.857
M108.0400,"Máy nén khí, động cơ điện - năng suất:",,,,,,,
M108.0401,5 m3/h,180,"12,0","5,20",5,2 kWh,1 nhân công vận hành,2.866
M108.0402,300 m3/h,180,"11,0","3,80",5,86 kWh,1 nhân công vận hành,143.199
M108.0403,600 m3/h,180,"11,0","3,40",5,125 kWh,1 nhân công vận hành,309.098
M109.0000,MÁY VÀ THIẾT BỊ THI CÔNG CÔNG TRÌNH THỦY,,,,,,,
M109.0110,Sà lan tự hành (không mở đáy) - trọng tải:,,,,,,,
M109.0111,200 t,270,"9,5","5,00",6,120 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy I + 1 thợ máy + 2 thuỷ thủ,2.252.000
M109.0112,400 t,270,"9,5","5,00",6,202 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy I + 1 thợ máy + 2 thuỷ thủ,3.500.000
M109.0113,800 t,270,"9,5","4,20",6,540 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy I + 2 thợ máy + 3 thuỷ thủ,5.750.000
M109.0115,1200 t,270,"9,5","4,20",6,931 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy I + 2 thợ máy + 3 thuỷ thủ,8.000.000
M109.0100,Sà lan - trọng tải:,,,,,,,
M109.0101,100 t,260,"11,0","5,90",6,,,490.476
M109.0102,200 t,290,"11,0","5,90",6,,,721.153
M109.0103,250 t,290,"11,0","5,90",6,,,901.384
M109.0104,400 t,290,"11,0","5,50",6,,,1.207.730
M109.0105,600 t,290,"11,0","5,50",6,,,1.420.866
M109.0106,800 t,290,"11,0","5,20",6,,,2.012.922
M109.0107,1000 t,290,"11,0","5,20",6,,,2.368.110
M109.0200,Phao thép - trọng tải:,,,,,,,
M109.0201,60 t,230,"11,0","5,90",6,,,121.530
M109.0202,200 t,230,"11,0","5,90",6,,,211.645
M109.0203,250 t,230,"11,0","5,90",6,,,222.193
M109.0301,Pông tông,230,"13,0","5,20",6,,,343.952
M109.0400,Thuyền (ghe) đặt máy bơm - trọng tải:,,,,,,,
M109.0401,5 t,230,"11,0","5,20",6,44 lít diezel,1 thuyền trưởng,258.000
M109.0402,40 t,230,"11,0","5,20",6,131 lít diezel,1 thuyền trưởng + 1 thủy thủ,887.000
M109.0500,Ca nô - công suất:,,,,,,,
M109.0501,12 cv,260,"12,0","6,00",6,3 lít diezel,1 thuyền trưởng,94.701
M109.0502,23 cv,260,"12,0","6,00",6,5 lít diezel,1 thuyền trưởng,103.988
M109.0503,30 cv,260,"12,0","5,40",6,6 lít diezel,1 thuyền trưởng,112.816
M109.0504,54 cv,260,"12,0","5,40",6,10 lít diezel,1 thuyền trưởng + 1 thủy thủ,144.918
M109.0505,75 cv,260,"11,0","4,60",6,14 lít diezel,1 thuyền trưởng + 1 thủy thủ,207.403
M109.0506,90 cv,260,"11,0","4,60",6,19 lít diezel,1 thuyền trưởng + 1 thủy thủ,278.115
M109.0507,150 cv,260,"11,0","4,60",6,23 lít diezel,1 thuyền trưởng + 1 máy I +1 thủy thủ,364.360
M109.0700,"Tầu kéo và phục vụ thi công thuỷ (làm neo, cấp dầu,...) - công suất:",,,,,,,
M109.0701,75 cv,260,"9,5","5,20",6,68 lít diezel,1 thuyền trưởng + 2 thợ máy + 1 thợ điện + 2 thuỷ thủ,258.000
M109.0702,150 cv,260,"9,5","5,00",6,95 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy I + 2 thợ máy + 2 thuỷ thủ,612.500
M109.0703,250 cv,260,"9,5","5,00",6,148 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy I + 2 thợ máy + 2 thuỷ thủ,787.238
M109.0704,360 cv,260,"9,5","5,00",6,202 lít diezel,1 thuyền trưởng+ 1 thuyền phó + 1 máy I + 2 thợ máy + 2 thuỷ thủ,887.000
M109.0705,600 cv,260,"9,5","4,20",6,315 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy I + 3 thợ máy + 4 thuỷ thủ,1.318.800
M109.0706,1200 cv (tầu kéo biển),270,"9,5","3,80",6,714 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy I + 3 thợ máy + 4 thuỷ thủ,9.851.500
M109.0800,Tàu cuốc sông- công suất:,,,,,,,
M109.0801,495 cv,290,"7,0","5,10",6,520 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy trưởng + 1 máy II + 1 điện trưởng + 1 kỹ thuật viên cuốc I + 2 kỹ thuật viên cuốc II + 4 thợ máy + 4 thuỷ thủ,11.237.300
M109.0900,Tàu cuốc biển - công suất:,,,,,,,
M109.0901,2085 cv,290,"7,0","4,50",6,1751 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy trưởng + 1 máy II + 1 điện trưởng + 1 kỹ thuật viên cuốc I + 2 kỹ thuật viên cuốc II + 4 thợ máy + 4 thuỷ thủ,34.650.000
M109.1000,Tàu hút - công suất:,,,,,,,
M109.1001,585 cv,290,"9,0","4,10",6,573 lít diezel,1 thuyền trưởng + thuyền phó + 1 máy trưởng + 1 máy II + 1 kỹ thuật viên cuốc I + 1 kỹ thuật viên cuốc II + 2 thợ máy + 4 thuỷ thủ,7.685.500
M109.1002,1200 cv,290,"7,0","3,75",6,1008 lít diezel,1 thuyền trưởng + thuyền phó + 1 máy trưởng + 1 máy II + 1 điện trưởng + 1 kỹ thuật viên cuốc I + 1 kỹ thuật viên cuốc II + 6 thợ máy + 2 thuỷ thủ,20.115.500
M109.1003,3958 cv ÷ 4170 cv,290,"7,0","2,40",6,3211 lít diezel,1 thuyền trưởng + thuyền phó + 1 máy trưởng + 1 máy II + 1 điện trưởng + 1 kỹ thuật viên cuốc I + 3 kỹ thuật viên cuốc II + 6 thợ máy + 4 thuỷ thủ,101.976.100
M109.1004,280 cv,290,"9,0","4,10",6,342 lít diezel,1 thuyền trưởng + thuyền phó + 1 máy trưởng + 1 máy II + 1 kỹ thuật viên cuốc I + 1 kỹ thuật viên cuốc II + 2 thợ máy + 4 thuỷ thủ,
M109.1005,400 cv,290,"9,0","4,10",6,450 lít diezel,1 thuyền trưởng + thuyền phó + 1 máy trưởng + 1 máy II + 1 kỹ thuật viên cuốc I + 1 kỹ thuật viên cuốc II + 2 thợ máy + 4 thuỷ thủ,
M109.1100,Tàu hút bụng tự hành - công suất:,,,,,,,
M109.1101,1390 cv,290,"7,0","6,50",6,1446 lít diezel,1 thuyền trưởng + thuyền phó + 1 máy trưởng + 1 máy II + 1 điện trưởng + 1 kỹ thuật viên cuốc I + 1 kỹ thuật viên cuốc II + 2 thợ máy + 4 thuỷ thủ,11.388.400
M109.1102,5945 cv,290,"7,0","6,00",6,5232 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy trưởng + 1 máy II + 1 điện trưởng + 1 kỹ thuật viên cuốc I + 1 kỹ thuật viên cuốc II + 2 thợ máy + 4 thuỷ thủ,65.840.000
M109.1200,"Tầu ngoạm (có tính năng phá đá ngầm), công suất 3170 CV - dung tích gầu:",,,,,,,
M109.1201,17 m3,290,"9,0","5,50",6,2663 lít diezel,1 thuyền trưởng + 1 thuyền phó + 1 máy trưởng + 1 máy II + 1 kỹ thuật viên cuốc I + 3 kỹ thuật viên cuốc II + 4 thợ máy + 4 thuỷ thủ,38.478.500
M109.1300,Máy xáng cạp - dung tích gầu:,,,,,,,
M109.1301,"1,25 m3",250,"10,0","5,20",6,70 lít diezel,1 nhân công vận hành,1.699.696
M109.1401,Trạm lặn,170,"25,0","7,50",8,,2 thợ lặn,77.160
M110.0000,MÁY VÀ THIẾT BỊ THI CÔNG TRONG HẦM,,,,,,,
M110.0100,Máy xúc chuyên dùng trong hầm - dung tích gầu:,,,,,,,
M110.0101,"0,9 m3",290,"13,0","4,80",6,52 lít diezel,1 nhân công vận hành,3.125.148
M110.0102,"1,65 m3",290,"13,0","4,80",6,65 lít diezel,1 nhân công vận hành,3.593.955
M110.0200,"Máy cào đá, động cơ điện - năng suất:",,,,,,,
M110.0201,3 m3/ph,290,"12,0","5,30",6,248 kWh,1 nhân công vận hành,975.792
M110.0300,Thiết bị phục vụ vận chuyển đá nổ mìn trong hầm:,,,,,,,
M110.0301,Tời ma nơ - 13 kW,300,"14,0","4,30",6,43 kWh,1 nhân công vận hành,29.121
M110.0302,Xe goòng 3 t,300,"14,0","4,30",6,,1 nhân công vận hành,30.956
M110.0303,Đầu kéo 30 t,300,"11,0","3,80",6,37 lít diezel,1 nhân công vận hành,3.107.721
M110.0304,Quang lật 360 t/h,300,"14,0","4,30",6,27 kWh,1 nhân công vận hành,247.875
M110.0400,Máy nâng phục vụ thi công hầm - công suất:,,,,,,,
M110.0401,135 cv,270,"12,0","3,10",6,45 lít diezel,1 nhân công vận hành,781.918
M111.0000,"MÁY VÀ THIẾT BỊ THI CÔNG ĐƯỜNG ỐNG, ĐƯỜNG CÁP NGẦM",,,,,,,
M111.0100,Máy và thiết bị khoan đặt đường ống:,,,,,,,
M111.0101,"Máy nâng TO-12-24, sức nâng 15t",180,"16,0","4,20",6,53 lít diezel,2 nhân công vận hành,1.091.245
M111.0102,Máy khoan ngang UĐB-4,150,"17,0","4,20",6,33 lít xăng,2 nhân công vận hành,464.335
M111.0200,Máy và thiết bị khoan đặt đường cáp ngầm:,,,,,,,
M111.0201,Máy khoan ngầm có định hướng,260,"15,0","3,50",6,201 kWh,2 nhân công vận hành,5.938.103
M111.0202,Hệ thống STS (phục vụ khoan ngầm có định hướng khi khoan qua sông nước),150,"15,0","3,50",6,2 kWh,2 nhân công vận hành,1.755.761
M112.0000,MÁY VÀ THIẾT BỊ THI CÔNG KHÁC,,,,,,,
M112.0100,"Máy bơm nước, động cơ điện - công suất:",,,,,,,
M112.0101,"1,1 kW",190,"17,0","4,70",5,3 kWh,,3.440
M112.0102,2 kW,190,"17,0","4,70",5,5 kWh,,3.898
M112.0103,"2,8 kW",190,"17,0","4,70",5,8 kWh,,4.586
M112.0104,"7 kW ÷ 7,5 kW",180,"17,0","4,70",5,10 kWh,,10.663
M112.0105,14 kW,180,"16,0","4,50",5,34 kWh,,17.198
M112.0106,20 kW,180,"16,0","4,20",5,48 kWh,,27.860
M112.0200,"Máy bơm nước, động cơ diezel - công suất:",,,,,,,
M112.0201,5 cv,150,"20,0","5,40",5,"2,7 lít diezel",,12.956
M112.0202,"5,5 cv",150,"20,0","5,40",5,3 lít diezel,,15.478
M112.0203,10 cv,150,"20,0","5,40",5,5 lít diezel,,26.943
M112.0204,20 cv,150,"18,0","4,70",5,10 lít diezel,,65.809
M112.0205,25 cv,150,"17,0","4,00",5,11 lít diezel,,73.720
M112.0206,30 cv,150,"17,0","4,00",5,15 lít diezel,,89.198
M112.0207,40 cv,150,"17,0","4,40",5,20 lít diezel,,114.952
M112.0208,75 cv,150,"16,0","3,80",5,36 lít diezel,,237.442
M112.0209,120 cv,150,"16,0","3,80",5,53 lít diezel,,267.801
M112.0210,200 m3/h,150,"20,0","5,40",5,98 lít diezel,,
M112.0300,"Máy bơm nước, động cơ xăng - công suất:",,,,,,,
M112.0301,3 cv,150,"20,0","5,80",5,"1,6 lít xăng",,9.860
M112.0302,6 cv,150,"20,0","5,80",5,3 lít xăng,,16.854
M112.0303,8 cv,150,"20,0","5,80",5,4 lít xăng,,22.013
M112.0401,"Máy bơm chân không 7,5 kW",280,"13,0","3,60",5,22 kWh,,252.231
M112.0402,Máy bơm xói 4MC (75 kW),180,"13,0","3,60",5,180 kWh,1 nhân công vận hành,120.039
M112.0501,Máy bơm áp lực xói nước đầu cọc (300 cv),180,"13,0","2,20",5,111 lít diezel,1 nhân công vận hành,1.158.316
M112.0600,Máy bơm vữa - năng suất:,,,,,,,
M112.0601,6 m3/h,150,"18,0","6,60",5,19 kWh,1 nhân công vận hành,103.415
M112.0602,9 m3/h,150,"18,0","6,60",5,34 kWh,1 nhân công vận hành,129.899
M112.0603,32 - 50 m3/h,150,"18,0","6,10",5,72 kWh,1 nhân công vận hành,170.830
M112.0605,15 m3/h,150,"18,0","6,10",5,67 kWh,1 nhân công vận hành,156.815
M112.0700,"Máy bơm cát, động cơ diezel - công suất:",,,,,,,
M112.0701,126 cv,200,"12,0","3,80",5,54 lít diezel,1 nhân công vận hành,240.684
M112.0702,350 cv,200,"12,0","3,50",5,127 lít diezel,1 nhân công vận hành,505.900
M112.0703,380 cv,200,"12,0","3,30",5,136 lít diezel,1 nhân công vận hành,541.420
M112.0704,480 cv,200,"12,0","3,10",5,168 lít diezel,1 nhân công vận hành,659.820
M112.0705,600 m3/h,200,"12,0","3,80",5,210 lít diezel,1 nhân công vận hành,
M112.0800,"Xe bơm bê tông, tự hành - năng suất:",,,,,,,
M112.0801,50 m3/h,260,"13,0","5,40",6,53 lít diezel,1 nhân công vận hành + 1 lái xe,2.508.786
M112.0802,60 m3/h,260,"13,0","5,00",6,60 lít diezel,1 nhân công vận hành + 1 lái xe,2.809.744
M112.0900,Máy bơm bê tông - năng suất:,,,,,,,
M112.0901,40 - 60 m3/h,220,"13,0","6,50",5,182 kWh,2 nhân công vận hành,1.245.106
M112.0902,60 - 90 m3/h,220,"13,0","6,50",5,248 kWh,2 nhân công vận hành,1.711.849
M112.1000,Máy phun vẩy - năng suất:,,,,,,,
M112.1001,9 m3/h (AL 285),200,"13,0","4,90",6,54 kWh,1 nhân công vận hành,1.734.436
M112.1002,16 m3/h (AL 500),200,"13,0","4,50",6,429 kWh,1 nhân công vận hành,6.737.447
M112.1100,"Máy đầm bê tông, đầm bàn - công suất:",,,,,,,
M112.1101,"1,0 kW",150,"25,0","8,80",4,5 kWh,1 nhân công vận hành,6.420
M112.1200,"Máy đầm bê tông, đầm cạnh - công suất:",,,,,,,
M112.1201,"1,0 kW",150,"25,0","8,80",4,5 kWh,,5.045
M112.1300,"Máy đầm bê tông, dầm dùi - công suất:",,,,,,,
M112.1301,"1,5 kW",150,"20,0","8,80",4,7 kWh,1 nhân công vận hành,7.395
M112.1302,"3,5 kW",150,"20,0","6,50",4,16 kWh,1 nhân công vận hành,24.535
M112.1400,Máy phun (chưa tính khí nén):,,,,,,,
M112.1401,Máy phun sơn 400 m2/h,150,"22,0","5,40",4,,1 nhân công vận hành,8.026
M112.1402,"Máy phun chất tạo màng 5,5Hp",150,"22,0","5,40",4,,1 nhân công vận hành,7.452
M112.1403,Máy phun cát,200,"22,0","4,20",4,,1 nhân công vận hành,16.510
