Tháng,Khuếch tán / tổng cộng,12h,13h,14h,15h,16h,17h,18h,19h,Giờ mặt trời mọc / Giờ mặt trời lặn
8,tổng cộng,"64,9","61,2","52,2","39,7","26,1","13,3","2,9",-,5h39 / 18h21
9,khuếch tán,"31,4","30,2","26,9","21,9","15,5","8,2","0,5",-,5h56 / 18h04
9,tổng cộng,"6,5","61,3","52,7","40,5","26,6","12,8","0,7",-,5h56 / 18h04
10,khuếch tán,"29,5","28,3","24,6","19,1","12,5","5,4",-,6h15 / 17h45,
10,tổng cộng,"58,4","55,4","46,9","34,8","21,3","8,4",-,6h15 / 17h45,
11,khuếch tán,"28,0","26,5","22,3","16,3","9,5","2,9",-,6h30 / 17h30,
11,tổng cộng,"49,3","46,4","38,2","26,9","14,8","4,2",-,6h30 / 17h30,
12,khuếch tán,"26,1","24,7","20,7","15,0","8,5","2,2",-,6h38 / 17h22,
12,tổng cộng,"41,2","38,7","31,7","22,0","11,7","2,7",-,6h38 / 17h22,
Trạm Hòn Gai,,,,,,,,,,
1,khuếch tán,"26,2","24,9","21,4","16,0","9,7","3,0",-,6h32 / 17h28,
1,tổng cộng,"38,7","36,6","30,9","22,6","13,2","3,9",-,6h32 / 17h28,
2,khuếch tán,"26,4","25,0","21,2","15,8","9,6","3,6",-,6h19 / 17h41,
2,tổng cộng,"33,5","31,9","27,3","20,7","12,9","5,0",-,6h19 / 17h41,
3,khuếch tán,"29,3","27,8","23,5","17,5","10,9","4,7",-,6h04 / 17h56,
3,tổng cộng,"36,0","34,2","29,5","22,6","14,7","6,7",-,6h04 / 17h56,
4,khuếch tán,"34,4","32,7","28,2","22,0","14,8","7,7","1,3",-,5h46 / 18h14
4,tổng cộng,"46,5","44,1","38,0","29,4","19,7","10,1","1,7",-,5h46 / 18h14
5,khuếch tán,"35,5","33,6","29,4","23,5","16,7","9,6","2,9",-,5h32 / 18h28
5,tổng cộng,"66,5","62,7","54,3","42,6","29,4","16,3","4,7",-,5h32 / 18h28
6,khuếch tán,"34,4","32,8","29,2","24,1","17,8","10,9","4,0",-,5h24 / 18h36
6,tổng cộng,"60,0","56,8","49,5","39,4","27,8","16,1","5,5",-,5h24 / 18h36
7,khuếch tán,"33,5","32,0","28,5","23,6","17,4","10,7","3,7",-,5h27 / 18h33
7,tổng cộng,"66,5","62,8","54,5","43,1","30,0","17,1","5,4",-,5h27 / 18h33
8,khuếch tán,"35,3","33,6","29,3","23,3","16,3","9,0","2,1",-,5h40 / 18h20
8,tổng cộng,"57,8","55,0","48,2","38,5","27,1","15,2","3,6",-,5h40 / 18h20
9,khuếch tán,"32,5","31,1","27,4","2,8","15,1","7,7","0,4",-,5h56 / 18h04
9,tổng cộng,"62,0","59,1","51,4","40,2","27,1","13,5","0,7",-,5h56 / 18h04
10,khuếch tán,"29,4","28,1","24,6","19,2","12,7","5,5",-,6h14 / 17h46,
10,tổng cộng,"61,9","58,8","50,1","37,6","23,4","9,5",-,6h14 / 17h46,
11,khuếch tán,"27,7","26,3","22,3","16,5","9,8","3,2",-,6h29 / 17h31,
11,tổng cộng,"53,6","50,4","41,8","29,6","16,5","4,9",-,6h29 / 17h31,
12,khuếch tán,"26,4","25,0","21,1","15,4","8,8","2,4",-,6h36 / 17h24,
12,tổng cộng,"43,3","40,9","34,2","24,5","13,8","3,6",-,6h36 / 17h24,
Trạm Bắc Giang,,,,,,,,,,
1,khuếch tán,"26,0","24,6","20,8","15,2","8,9","2,5",-,6h34 / 17h26,
1,tổng cộng,"36,5","34,5","29,1","21,2","12,2","3,5",-,6h34 / 17h26,
2,khuếch tán,"26,5","25,1","21,0","15,2","8,9","3,1",-,6h20 / 17h40,
2,tổng cộng,"35,3","33,2","27,4","19,4","10,9","3,6",-,6h20 / 17h40,
3,khuếch tán,"30,1","28,4","23,9","17,6","10,7","4,5",-,6h04 / 17h56,
3,tổng cộng,"38,3","36,0","19,8","21,4","12,6","4,9",-,6h04 / 17h56,
4,khuếch tán,"34,9","33,1","28,4","21,9","14,6","7,4","1,3",-,5h46 / 18h14
4,tổng cộng,"49,2","46,4","39,0","28,9","18,1","8,5","1,3",-,5h46 / 18h14
5,khuếch tán,"34,8","33,1","29,1","23,5","16,9","9,9","3,1",-,5h30 / 18h30
5,tổng cộng,"72,3","67,9","57,8","44,1","29,2","15,3","4,2",-,5h30 / 18h30
6,khuếch tán,"34,3","32,7","29,2","24,0","17,8","11,0","4,2",-,5h22 / 18h38
6,tổng cộng,"62,0","58,7","51,2","40,8","28,8","16,8","5,9",-,5h22 / 18h38
7,khuếch tán,"33,4","31,8","28,4","23,5","17,5","10,7","3,9",-,5h26 / 18h34
7,tổng cộng,"68,2","64,3","55,9","44,2","30,9","17,7","5,8",-,5h26 / 18h34
8,khuếch tán,"34,6","33,0","28,9","23,1","16,3","9,1","2,3",-,5h39 / 18h21
8,tổng cộng,"66,8","63,2","54,2","41,9","28,1","14,7","3,4",-,5h39 / 18h21
9,khuếch tán,"31,3","30,1","26,7","21,6","15,2","8,0","0,5",-,5h56 / 18h04
9,tổng cộng,"67,7","64,1","54,7","41,5","26,7","12,5","0,6",-,5h56 / 18h04
10,khuếch tán,"29,1","27,9","24,3","19,0","12,5","5,4",-,6h15 / 17h45,
10,tổng cộng,"60,7","57,6","49,1","36,9","22,9","9,2",-,6h15 / 17h45,
11,khuếch tán,"27,5","26,0","22,1","16,3","9,6","3,0",-,6h30 / 17h30,
11,tổng cộng,"51,8","48,7","40,3","28,5","15,8","4,5",-,6h30 / 17h30,
12,khuếch tán,"26,0","24,6","20,7","15,1","8,6","2,2",-,6h38 / 17h22,
12,tổng cộng,"41,5","39,2","32,7","23,4","13,0","3,2",-,6h38 / 17h22,
Trạm Hà Nội,,,,,,,,,,
1,khuếch tán,"25,6","24,3","20,5","15,1","8,8","2,5",-,6h34 / 17h26,
1,tổng cộng,"35,0","33,1","27,9","20,3","11,7","3,3",-,6h34 / 17h26,
2,khuếch tán,"27,0","25,5","21,3","15,5","9,1","3,2",-,6h20 / 17h40,
2,tổng cộng,"36,2","34,0","28,1","19,8","11,1","3,6",-,6h20 / 17h40,
3,khuếch tán,"30,1","28,4","23,9","17,5","10,7","4,5",-,6h04 / 17h56,
3,tổng cộng,"38,3","36,0","29,8","21,4","12,6","4,9",-,6h04 / 17h56,
4,khuếch tán,"39,3","37,2","31,7","24,1","15,7","7,8","1,3",-,5h46 / 17h14
4,tổng cộng,"49,9","47,0","39,5","29,3","18,4","8,6","1,3",-,5h46 / 17h14
5,khuếch tán,"35,1","33,3","29,3","23,7","17,0","10,0","3,1",-,5h30 / 18h30
5,tổng cộng,"69,8","65,6","55,8","42,6","28,2","14,8","4,0",-,5h30 / 18h30
6,khuếch tán,"35,0","33,3","29,5","24,1","17,6","10,7","4,0",-,5h22 / 18h38
6,tổng cộng,"61,3","57,9","50,2","39,6","27,6","15,8","5,4",-,5h22 / 18h38
7,khuếch tán,"33,6","32,0","28,6","23,7","17,6","10,9","3,9",-,5h26 / 18h34
7,tổng cộng,"66,9","63,0","54,4","42,5","29,3","16,4","5,2",-,5h26 / 18h34
8,khuếch tán,"33,8","32,4","28,7","23,5","17,0","9,8","2,5",-,5h39 / 18h21
8,tổng cộng,"64,9","61,2","52,2","39,7","26,1","13,3","2,9",-,5h39 / 18h21
9,khuếch tán,"31,6","30,4","27,1","22,0","15,6","8,3","0,5",-,5h56 / 18h04
9,tổng cộng,"62,8","59,7","51,3","39,4","25,9","12,5","0,7",-,5h56 / 18h04
10,khuếch tán,"29,6","28,3","24,6","19,2","12,5","5,4",-,6h15 / 17h45,
10,tổng cộng,"59,3","56,1","47,5","35,3","21,6","8,5",-,6h15 / 17h45,
11,khuếch tán,"27,7","26,2","22,2","16,4","9,7","3,1",-,6h30 / 17h30,
11,tổng cộng,"51,0","47,9","39,4","27,5","14,9","4,1",-,6h30 / 17h30,
12,khuếch tán,"26,1","24,7","20,8","15,0","8,5","2,2",-,6h38 / 17h22,
12,tổng cộng,"42,0","39,4","32,3","22,4","11,9","2,7",-,6h38 / 17h22,
Trạm Sơn Tây,,,,,,,,,,
1,khuếch tán,"25,5","24,2","20,4","15,0","8,7","2,5",,-,6h34 / 17h26
1,tổng cộng,"35,0","33,1","27,9","20,3","11,7","3,3",,-,6h34 / 17h26
2,khuếch tán,"35,5","33,6","28,5","21,1","12,7","4,7",,-,6h20 / 17h40
2,tổng cộng,"36,1","33,9","28,0","19,7","11,1","3,6",,-,6h20 / 17h40
3,khuếch tán,"30,8","29,1","24,4","18,0","10,9","4,6",,-,6h04 / 17h56
3,tổng cộng,"38,9","36,6","30,4","21,8","12,8","5,0",,-,6h04 / 17h56
4,khuếch tán,"35,1","33,3","28,6","22,0","14,6","7,5","1,3",-,5h46 / 18h14
4,tổng cộng,"50,6","47,6","40,0","29,7","18,6","8,7","1,3",-,5h46 / 18h14
5,khuếch tán,"35,3","33,5","29,5","23,8","17,0","10,0","3,1",-,5h30 / 18h30
5,tổng cộng,"67,0","63,2","54,7","43,0","29,7","16,5","4,9",-,5h30 / 18h30
6,khuếch tán,"35,0","33,3","29,5","24,1","17,6","10,8","4,0",-,5h22 / 18h38
6,tổng cộng,"60,7","57,3","49,7","39,2","27,4","15,7","5,4",-,5h22 / 18h38
7,khuếch tán,"33,7","32,1","28,7","23,7","17,7","10,9","3,9",-,5h26 / 18h34
7,tổng cộng,"66,2","62,3","53,8","42,1","29,0","16,2","5,2",-,5h26 / 18h34
8,khuếch tán,"33,8","32,3","28,7","23,4","17,0","9,8","2,5",-,5h39 / 18h21
8,tổng cộng,"64,3","60,6","51,7","39,4","25,9","13,2","2,9",-,5h39 / 18h21
9,khuếch tán,"31,5","30,3","26,9","21,9","15,5","8,2","0,5",-,5h56 / 18h04
9,tổng cộng,"63,4","60,2","51,8","39,8","26,1","12,6","0,7",-,5h56 / 18h04
10,khuếch tán,"29,7","28,4","24,7","19,2","12,6","5,4",-,6h15 / 17h45,
10,tổng cộng,"57,5","54,4","46,1","34,2","20,9","8,2",-,6h15 / 17h45,
11,khuếch tán,"27,7","26,3","22,3","16,4","9,7","3,1",-,6h30 / 17h30,
11,tổng cộng,"48,6","45,6","37,5","26,2","14,2","3,9",-,6h30 / 17h30,
12,khuếch tán,"26,1","24,7","20,7","15,0","8,5","2,2",-,6h38 / 17h22,
12,tổng cộng,"40,8","38,2","31,4","21,8","11,5","2,7",-,6h38 / 17h22,
Trạm Hoà Bình,,,,,,,,,,
1,khuếch tán,"26,4","25,1","21,2","15,6","9,1","2,7",-,6h32 / 17h28,
1,tổng cộng,"37,0","35,0","29,5","21,6","12,5","3,7",-,6h32 / 17h28,
2,khuếch tán,"28,8","27,2","22,8","16,5","9,7","3,5",-,6h19 / 17h41,
2,tổng cộng,"39,1","36,7","30,3","21,4","12,0","4,0",-,6h19 / 17h41,
3,khuếch tán,"33,0","31,2","26,2","19,2","11,7","4,9",-,6h04 / 17h56,
3,tổng cộng,"42,7","40,1","33,3","23,9","14,0","5,5",-,6h04 / 17h56,
4,khuếch tán,"36,1","34,2","29,4","22,6","15,0","7,6","1,2",-,5h46 / 18h14
4,tổng cộng,"53,7","50,5","42,4","31,4","19,6","9,1","1,3",-,5h46 / 18h14
5,khuếch tán,"35,2","33,4","29,4","23,7","17,0","9,9","3,0",-,5h32 / 18h28
5,tổng cộng,"68,0","63,8","54,3","41,4","27,3","14,2","3,8",-,5h32 / 18h28
6,khuếch tán,"34,9","33,3","29,4","24,0","17,5","10,6","3,8",-,5h24 / 18h36
6,tổng cộng,"58,5","55,3","47,9","37,7","26,2","14,0","4,9",-,5h24 / 18h36
7,khuếch tán,"33,8","32,2","28,8","23,8","17,7","10,8","3,8",-,5h27 / 18h33
7,tổng cộng,"63,7","60,0","51,8","40,4","27,7","15,4","4,8",-,5h27 / 18h33
8,khuếch tán,"34,1","32,6","28,9","23,6","17,1","9,8","2,4",-,5h40 / 18h20
8,tổng cộng,"62,0","58,5","49,8","37,9","24,8","12,6","2,7",-,5h40 / 18h20
9,khuếch tán,"32,0","30,8","27,4","22,3","15,8","8,4","0,5",-,5h56 / 18h04
9,tổng cộng,"58,3","55,4","47,6","36,6","24,0","11,6","0,6",-,5h56 / 18h04
10,khuếch tán,"30,2","28,9","25,1","19,6","12,8","5,5",-,6h14 / 17h46,
10,tổng cộng,"55,8","52,9","44,8","33,3","20,4","8,1",-,6h14 / 17h46,
11,khuếch tán,"28,1","26,7","22,6","16,8","10,0","3,2",-,6h29 / 17h31,
11,tổng cộng,"47,4","44,5","36,6","25,6","14,0","4,0",-,6h29 / 17h31,
12,khuếch tán,"26,6","25,2","21,2","15,4","8,8","2,4",-,6h36 / 17h24,
12,tổng cộng,"40,5","38,1","31,3","21,7","11,6","2,8",-,6h36 / 17h24,
Trạm Hải Dương,,,,,,,,,,
1,khuếch tán,"26,3","25,0","21,1","15,5","9,1","2,7",-,6h32 / 17h28,
1,tổng cộng,"36,6","34,7","29,2","21,4","12,4","3,7",-,6h32 / 17h28,
2,khuếch tán,"26,7","25,2","21,1","15,3","9,0","3,2",-,6h19 / 17h41,
2,tổng cộng,"34,9","32,8","27,1","19,2","10,8","3,6",-,6h19 / 17h41,
3,khuếch tán,"29,2","27,6","23,2","17,0","10,4","4,3",-,6h04 / 17h56,
3,tổng cộng,"37,0","34,7","28,8","20,7","12,1","4,8",-,6h04 / 17h56,
4,khuếch tán,"34,7","32,9","28,2","21,7","14,4","7,3","1,2",-,5h46 / 18h14
4,tổng cộng,"49,4","46,4","39,0","28,9","18,1","8,4","1,2",-,5h46 / 18h14
5,khuếch tán,"34,9","33,1","29,1","23,5","16,8","9,8","3,0",-,5h32 / 18h28
5,tổng cộng,"72,0","67,6","57,5","43,8","28,9","15,0","4,0",-,5h32 / 18h28
6,khuếch tán,"34,8","33,2","29,4","24,0","17,5","10,6","3,8",-,5h24 / 18h36
6,tổng cộng,"63,3","59,8","51,8","40,8","28,4","16,1","5,4",-,5h24 / 18h36
7,khuếch tán,"33,0","31,5","28,2","23,5","17,5","10,8","3,8",-,5h27 / 18h33
7,tổng cộng,"70,4","66,1","56,5","43,5","29,2","15,7","4,7",-,5h27 / 18h33
8,khuếch tán,"33,9","32,4","28,7","23,4","16,9","9,7","2,4",-,5h40 / 18h20
8,tổng cộng,"65,2","61,4","52,3","39,8","26,1","13,2","2,8",-,5h40 / 18h20
9,khuếch tán,"31,6","30,4","27,0","22,0","15,6","8,2","0,5",-,5h56 / 18h04
9,tổng cộng,"64,8","61,5","52,9","40,6","26,7","12,8","0,6",-,5h56 / 18h04
10,khuếch tán,"29,6","28,3","24,6","19,2","12,6","5,4",-,6h14 / 17h46,
10,tổng cộng,"61,0","57,8","48,9","36,3","22,2","8,8",-,6h14 / 17h46,
11,khuếch tán,"27,9","26,4","22,4","16,6","9,9","3,2",-,6h29 / 17h31,
11,tổng cộng,"52,1","48,9","40,2","28,1","15,4","4,4",-,6h29 / 17h31,
12,khuếch tán,"26,6","25,2","21,2","15,4","8,8","2,4",-,6h36 / 17h24,
12,tổng cộng,"42,4","39,8","32,7","22,8","12,2","3,0",-,6h36 / 17h24,
Trạm Hưng Yên,,,,,,,,,,
1,khuếch tán,"26,2","24,8","21,0","15,4","9,0","2,7",-,6h32 / 17h28,
1,tổng cộng,"35,7","33,8","28,5","20,8","12,1","3,6",-,6h32 / 17h28,
2,khuếch tán,"26,4","24,9","20,9","15,2","8,9","3,2",-,6h19 / 17h41,
2,tổng cộng,"35,1","33,0","27,3","19,3","10,8","3,6",-,6h19 / 17h41,
3,khuếch tán,"30,1","28,4","23,8","17,5","10,7","4,5",-,6h04 / 17h56,
3,tổng cộng,"37,8","35,5","29,4","21,1","12,4","4,9",-,6h04 / 17h56,
4,khuếch tán,"35,1","33,3","28,6","22,0","14,6","7,4","1,2",-,5h46 / 18h14
4,tổng cộng,"51,3","48,3","40,6","30,0","18,8","8,7","1,3",-,5h46 / 18h14
5,khuếch tán,"34,9","33,1","29,1","23,5","16,8","9,8","3,0",-,5h32 / 18h28
5,tổng cộng,"71,9","67,4","57,3","43,7","28,8","15,0","4,0",-,5h32 / 18h28
6,khuếch tán,"34,7","33,1","29,3","23,9","17,5","10,6","3,8",-,5h24 / 18h36
6,tổng cộng,"63,1","59,7","51,7","40,7","28,3","16,1","5,3",-,5h24 / 18h36
7,khuếch tán,"32,9","31,4","28,1","23,4","17,5","10,8","3,8",-,5h27 / 18h33
7,tổng cộng,"71,5","67,1","57,4","44,2","29,7","16,0","4,7",-,5h27 / 18h33
8,khuếch tán,"33,9","32,4","28,7","23,4","16,9","9,7","2,4",-,5h40 / 18h20
8,tổng cộng,"65,2","61,4","52,3","39,8","26,1","13,2","2,8",-,5h40 / 18h20
9,khuếch tán,"21,9","21,1","18,9","15,4","11,0","5,9","0,3",-,5h56 / 18h04
9,tổng cộng,"63,7","60,5","52,0","39,9","26,2","12,6","0,6",-,5h56 / 18h04
10,khuếch tán,"29,8","28,5","24,8","19,3","12,7","5,5",-,6h14 / 17h46,
10,tổng cộng,"60,0","56,9","48,2","35,8","21,9","8,7",-,6h14 / 17h46,
11,khuếch tán,"28,1","26,6","22,6","16,7","10,0,","3,2",-,6h29 / 17h31,
11,tổng cộng,"50,4","47,3","38,9","27,2","14,9","4,2",-,6h29 / 17h31,
12,khuếch tán,"26,6","25,2","21,2","15,4","8,8","2,4",-,6h36 / 17h24,
12,tổng cộng,"42,5","39,9","32,7","22,8","12,2","3,0",-,6h36 / 17h24,
Trạm Phủ Liễn,,,,,,,,,,
1,khuếch tán,"26,1","24,8","21,2","15,9","9,6","3,0",-,6h32 / 17h28,
1,tổng cộng,"37,2","35,3","29,8","21,8","12,7","3,8",-,6h32 / 17h28,
2,khuếch tán,"26,1","24,7","21,0","15,6","9,4","3,5",-,6h19 / 17h41,
2,tổng cộng,"33,0","31,4","27,0","20,4","12,8","4,9",-,6h19 / 17h41,
3,khuếch tán,"28,5","27,0","22,8","17,0","10,6","4,6",-,6h04 / 17h56,
3,tổng cộng,"34,3","32,6","28,1","21,5","14,0","6,4",-,6h04 / 17h56,
4,khuếch tán,"35,4","33,6","29,0","22,6","15,2","7,9","1,3",-,5h46 / 18h14
4,tổng cộng,"46,5","44,1","38,0","29,4","19,7","10,4","1,7",-,5h46 / 18h14
5,khuếch tán,"35,5","33,6","29,4","23,6","16,7","9,6","2,9",-,5h32 / 18h28
5,tổng cộng,"67,2","63,3","54,8","43,0","29,7","16,5","4,8",-,5h32 / 18h28
6,khuếch tán,"34,2","32,7","29,1","24,0","17,7","10,9","4,0",-,5h24 / 18h36
6,tổng cộng,"62,3","59,0","51,4","40,9","28,9","16,7","5,7",-,5h24 / 18h36
7,khuếch tán,"33,4","31,9","28,4","23,5","17,4","10,6","3,7",-,5h27 / 18h33
7,tổng cộng,"67,6","63,8","55,4","43,7","30,5","17,3","5,5",-,5h27 / 18h33
8,khuếch tán,"35,0","33,3","29,2","23,3","16,4","9,1","2,2",-,5h40 / 18h20
8,tổng cộng,"62,7","59,3","50,8","39,2","26,2","13,7","3,0",-,5h40 / 18h20
9,khuếch tán,"32,0","30,7","27,2","22,0","15,5","8,1","0,4",-,5h56 / 18h04
9,tổng cộng,"64,8","61,4","52,3","39,7","25,5","11,9","0,6",-,5h56 / 18h04
10,khuếch tán,"29,3","28,1","24,5","19,2","12,6","5,5",-,6h14 / 17h46,
10,tổng cộng,"61,0","57,9","49,3","37,0","23,1","9,4",-,6h14 / 17h46,
11,khuếch tán,"27,8","26,4","22,4","16,5","9,8","3,2",-,6h29 / 17h31,
11,tổng cộng,"52,9","49,8","41,3","29,3","16,3","4,8",-,6h29 / 17h31,
12,khuếch tán,"26,4","25,0","21,1","15,4","8,8","2,4",-,6h36 / 17h24,
12,tổng cộng,"43,3","40,9","34,2","24,5","13,8","3,6",-,6h36 / 17h24,
Trạm Thái Bình,,,,,,,,,,
1,khuếch tán,"25,6","24,3","220,8","15,6","9,4","2,9",-,6h32 / 17h28,
1,tổng cộng,"68,0","63,4","51,2","34,5","17,6","4,2",-,6h32 / 17h28,
2,khuếch tán,"24,8","23,5","20,0","14,8","9,0","3,4",-,6h19 / 17h41,
2,tổng cộng,"31,0","29,5","25,3","19,2","12,0","4,6",-,6h19 / 17h41,
3,khuếch tán,"28,7","27,1","23,0","17,1","10,7","4,6",-,6h04 / 7h56,
3,tổng cộng,"34,9","33,2","28,6","21,9","14,2","6,5",-,6h04 / 7h56,
4,khuếch tán,"34,5","32,8","28,3","22,0","14,8","7,7","1,3",-,5h46 / 18h14
4,tổng cộng,"47,8","45,3","39,0","30,2","20,3","10,4","1,7",-,5h46 / 18h14
5,khuếch tán,"35,4","33,5","29,4","23,5","16,7","9,6","2,9",-,5h32 / 18h28
5,tổng cộng,"69,4","65,4","56,6","44,5","30,7","17,0","4,9",-,5h32 / 18h28
6,khuếch tán,"34,2","32,6","29,0","23,9","17,7","10,9","40,0",-,5h24 / 18h36
6,tổng cộng,"63,3","60,0","52,3","41,6","29,3","17,0","5,8",-,5h24 / 18h36
7,khuếch tán,"33,1","31,6","28,2","23,3","17,2","10,5","3,7",-,5h27 / 18h33
7,tổng cộng,"70,6","66,6","57,8","45,7","31,9","18,1","5,8",-,5h27 / 18h33
8,khuếch tán,"35,0","33,3","29,2","23,3","16,4","9,1","2,2",-,5h40 / 18h20
8,tổng cộng,"62,8","59,3","50,8","39,2","26,2","13,7","3,0",-,5h40 / 18h20
9,khuếch tán,"32,0","30,7","27,3","22,0","15,5","8,1","0,4",-,5h56 / 18h04
9,tổng cộng,"64,4","61,0","52,0","39,4","25,3","11,9","0,6",-,5h56 / 18h04
10,khuếch tán,"29,6","28,4","24,8","19,4","12,8","5,6",-,6h14 / 17h46,
10,tổng cộng,"59,4","56,4","48,1","36,1","22,5","9,1",-,6h14 / 17h46,
11,khuếch tán,"28,1","26,7","22,6","16,7","10,0","3,2",-,6h29 / 17h31,
11,tổng cộng,"50,4","47,4","39,3","27,9","15,5","4,6",-,6h29 / 17h31,
12,khuếch tán,"26,5","25,1","21,2","15,4","8,9","2,4",-,3h36 / 17h24,
12,tổng cộng,"41,5","39,2","32,8","23,5","13,2","3,5",-,3h36 / 17h24,
Trạm Nam Định,,,,,,,,,,
1,khuếch tán,"26,1","24,7","20,9","15,4","9,0","2,7",-,6h32 / 17h28,
1,tổng cộng,"35,4","33,5","28,2","20,6","12,0","3,5",-,6h32 / 17h28,
2,khuếch tán,"26,0","24,5","20,6","14,9","8,8","3,1",-,6h19 / 17h41,
2,tổng cộng,"34,6","32,6","26,9","19,0","10,7","3,6",-,6h19 / 17h41,
3,khuếch tán,"29,6","27,9","23,4","17,2","10,5","4,4",-,6h04 / 17h56,
3,tổng cộng,"37,1","34,9","29,0","20,8","12,2","4,8",-,6h04 / 17h56,
4,khuếch tán,"35,5","33,6","28,8","22,2","14,7","7,5","1,2",-,5h46 / 18h14
4,tổng cộng,"52,0","48,9","41,1","30,4","19,0","8,8","1,3",-,5h46 / 18h14
5,khuếch tán,"34,9","33,1","29,1","23,5","16,8","9,8","3,0",-,5h32 / 18h28
5,tổng cộng,"71,9","67,4","57,3","43,7","28,8","15,0","4,0",-,5h32 / 18h28
6,khuếch tán,"34,7","33,0","29,2","23,8","17,4","10,5","3,8",-,5h24 / 18h36
6,tổng cộng,"64,3","60,8","52,7","41,5","28,8","16,4","5,4",-,5h24 / 18h36
7,khuếch tán,"32,8","31,3","28,0","23,3","17,4","10,8","3,8",-,5h27 / 18h33
7,tổng cộng,"72,7","68,3","58,4","44,9","30,2","16,2","4,8",-,5h27 / 18h33
8,khuếch tán,"34,0","32,5","28,8","23,5","17,0","9,8","2,4",-,5h40 / 18h20
8,tổng cộng,"63,9","60,2","51,2","39,0","25,5","12,9","2,7",-,5h40 / 18h20
9,khuếch tán,"31,8","30,6","27,2","22,1","15,7","8,3","0,5",-,5h56 /18h04
9,tổng cộng,"63,7","60,5","52,0","39,9","26,2","12,6","0,6",-,5h56 /18h04
10,khuếch tán,"29,9","28,6","24,9","19,4","12,7","5,5",-,6h14 / 17h46,
10,tổng cộng,"580,0","54,9","46,4","34,3","20,8","8,2",-,6h14 / 17h46,
11,khuếch tán,"28,1","26,6","22,6","16,7","9,9","3,2",-,6h29 / 17h31,
11,tổng cộng,"51,8","48,6","40,0","28,0","15,3","4,4",-,6h29 / 17h31,
12,khuếch tán,"26,6","25,2","21,2","15,4","8,8","2,4",-,6h36 / 17h24,
12,tổng cộng,"41,1","38,6","31,7","22,1","11,8","2,9",-,6h36 / 17h24,
Trạm Ninh Bình,,,,,,,,,,
1,khuếch tán,"26,6","25,2","21,2","15,5","8,9","2,6",-,6h32 / 17h28,
1,tổng cộng,"39,6","37,4","31,3","22,5","12,8","3,7",-,6h32 / 17h28,
2,khuếch tán,"26,0","24,7","21,1","15,7","9,7","3,7",-,6h19 / 17h41,
2,tổng cộng,"35,6","33,7","28,4","21,0","12,6","4,6",-,6h19 / 17h41,
3,khuếch tán,"29,5","27,9","23,5","17,4","10,7","4,5",-,6h04 / 17h56,
3,tổng cộng,"37,7","35,4","29,5","21,2","12,5","5,0",-,6h04 / 17h56,
4,khuếch tán,"35,3","33,5","28,7","22,0","14,6","7,3","1,2",-,5h46 / 17h14
4,tổng cộng,"55,0","51,5","42,7","30,9","18,6","8,1","1,0",-,5h46 / 17h14
5,khuếch tán,"33,2","31,7","28,5","23,7","17,8","10,9","3,5",-,5h32 / 18h28
5,tổng cộng,"80,0","74,9","63,3","47,6","30,8","15,6","3,9",-,5h32 / 18h28
6,khuếch tán,"33,9","32,4","29,0","24,0","17,9","11,1","4,1",-,5h24 / 18h36
6,tổng cộng,"70,4","66,3","56,6","43,4","29,0","15,6","4,8",-,5h24 / 18h36
7,khuếch tán,"32,9","31,4","28,1","23,4","17,5","10,8","3,8",-,5h27 / 18h33
7,tổng cộng,"77,5","72,8","62,3","47,9","32,2","17,3","5,1",-,5h27 / 18h33
8,khuếch tán,"33,7","32,3","28,7","23,6","17,2","10,0","2,5",-,5h40 / 18h20
8,tổng cộng,"68,0","64,1","54,5","41,4","27,1","13,7","2,9",-,5h40 / 18h20
9,khuếch tán,"31,6","30,4","27,2","22,3","16,0","8,6","0,5",-,5h56 / 18h04
9,tổng cộng,"67,7","64,1","54,4","40,9","26,0","11,9","0,6",-,5h56 / 18h04
10,khuếch tán,"30,2","28,9","25,2","19,7","13,0","5,7",-,6h14 / 17h46,
10,tổng cộng,"55,4","53,5","47,7","38,7","26,7","12,2",-,6h14 / 17h46,
11,khuếch tán,"28,1","26,7","22,6","16,8","10,0","3,2",-,6h28 / 17h32,
11,tổng cộng,"54,5","51,2","42,1","29,5","16,1","4,6",-,6h28 / 17h32,
12,khuếch tán,"25,5","24,4","21,0","15,8","9,6","2,8",-,6h36 / 17h24,
12,tổng cộng,"44,8","42,2","35,1","25,0","13,8","3,6",-,6h36 / 17h24,
Trạm Thanh Hoá,,,,,,,,,,
1,khuếch tán,"27,2","25,7","21,7","15,8","9,2","2,8",-,6h30 / 17h30,
1,tổng cộng,"39,8","37,6","31,5","22,7","13,0","3,9",-,6h30 / 17h30,
2,khuếch tán,"26,6","25,3","21,5","16,1","9,9","3,8",-,6h18 / 17h42,
2,tổng cộng,"36,7","34,7","29,3","21,6","13,0","4,8",-,6h18 / 17h42,
3,khuếch tán,"30,8","29,1","24,5","18,1","11,1","4,7",-,6h04 / 17h56,
3,tổng cộng,"57,1","54,0","45,7","34,1","21,3","9,2",-,6h04 / 17h56,
4,khuếch tán,"36,3","34,4","29,4","22,6","14,9","7,5","1,2",-,5h47 / 18h13
4,tổng cộng,"59,2","55,4","45,9","33,1","19,9","8,6","1,0",-,5h47 / 18h13
5,khuếch tán,"33,1","31,6","28,3","23,6","17,6","10,7","3,3",-,5h33 / 18h27
