Địa danh,"Đỉnh gia tốc nền tham chiếu, agR",Địa danh,"Đỉnh gia tốc nền tham chiếu, agR"
59. Trà Vinh,,,
Thành phố Trà Vinh,"0,02×g",Huyện Châu Thành,"0,02×g"
Thị xã Duyên Hải,"0,04×g",Huyện Duyên Hải,"0,04×g"
Huyện Càng Long,"0,02×g",Huyện Trà Cú,"0,04×g"
Huyện Cầu Kè,"0,04×g",Huyện Tiểu Cần,"0,04×g"
Huyện Cầu Ngang,"0,02×g",,
60. Tuyên Quang,,,
Thành phố Tuyên Quang,"0,06×g",Huyện Na Hang,"0,04×g"
Huyện Chiêm Hóa,"0,04×g",Huyện Sơn Dương,"0,06×g"
Huyện Hàm Yên,"0,06×g",Huyện Yên Sơn,"0,08×g"
Huyện Lâm Bình,"0,04×g",,
61. Vĩnh Long,,,
Thành phố Vĩnh Long,"0,02×g",Huyện Tam Bình,"0,04×g"
Thị xã Bình Minh,"0,04×g",Huyện Trà Ôn,"0,04×g"
Huyện Long Hồ,"0,02×g",Huyện Vũng Liêm,"0,02×g"
Huyện Mang Thít,"0,02×g",Huyện Bình Tân,"0,04×g"
62. Vĩnh Phúc,,,
Thành phố Vĩnh Yên,"0,10×g",Huyện Tam Dương,"0,08×g"
Thành phố Phúc Yên,"0,08×g",Huyện Tam Đảo,"0,08×g"
Huyện Bình Xuyên,"0,08×g",Huyện Vĩnh Tường,"0,14×g"
Huyện Lập Thạch,"0,10×g",Huyện Yên Lạc,"0,12×g"
Huyện Sông Lô,"0,12×g",,
63. Yên Bái,,,
Thành phố Yên Bái,"0,14×g",Huyện Trấn Yên,"0,14×g"
Thị xã Nghĩa Lộ,"0,08×g",Huyện Văn Chấn,"0,08×g"
Huyện Lục Yên,"0,10×g",Huyện Văn Yên,"0,14×g"
Huyện Mù Cang Chải,"0,08×g",Huyện Yên Bình,"0,14×g"
Huyện Trạm Tấu,"0,08×g",,
