Vùng bờ biển,Thời gian xuất hiện,Tên cơn bão/ áp thấp nhiệt đới,Cấp bão
Bình Thuận - Cà Mau,11/11/1998,CHIP (số 4),Cấp 6: (39 - 49) km/h
Bình Thuận - Cà Mau,31/10/1997,LINDA (số 5),Cấp 8: (62 - 74) km/h
Bình Thuận - Cà Mau,7/11/1996,ERNIE (số 8),Cấp 6: (39 - 49) km/h
Bình Thuận - Cà Mau,26/06/1994,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Bình Thuận - Cà Mau,3/11/1988,TESS (số 10),Cấp 11: (103-117) km/h
Bình Thuận - Cà Mau,10/10/1985,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Bình Thuận - Cà Mau,14/11/1973,THELMA (số 14),Cấp 10: (89-102) km/h
Bình Thuận - Cà Mau,18/10/1968,HESTER (số 8),Cấp 8: (62 - 74) km/h
Bình Thuận - Cà Mau,28/11/1962,LUCY (số 9),Cấp 9: (75 - 88) km/h
Giữa Biển Đông,7/11/2011,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Giữa Biển Đông,11/10/2011,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Giữa Biển Đông,28/9/2011,NALGAE (số 6),Cấp 7: (50 - 61) km/h
Giữa Biển Đông,12/11/2010,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Giữa Biển Đông,3/11/2010,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Giữa Biển Đông,14/05/2008,HALONG (số 1),Cấp 7: (50 - 61) km/h
Giữa Biển Đông,3/9/2009,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Giữa Biển Đông,14/04/2008,NEOGURI (số 2),Cấp 13: > 133 km/h
