Địa danh,Phổ gia tốc chu kỳ ngắn Ss,Phổ gia tốc chu kỳ dài S1,Địa danh,Phổ gia tốc chu kỳ ngắn Ss,Phổ gia tốc chu kỳ dài S1
Thị xã Ba Đồn,"0,30×g","0,12×g",Huyện Quảng Ninh,"0,15×g","0,06×g"
Huyện Bố Trạch,"0,23×g","0,09×g",Huyện Quảng Trạch,"0,25×g","0,11×g"
Huyện Lệ Thủy,"0,15×g","0,06×g",Huyện Tuyên Hóa,"0,30×g","0,12×g"
47. Quảng Nam,,,,,
Thành phố Tam Kỳ,"0,14×g","0,06×g",Huyện Nam Giang,"0,08×g","0,03×g"
Thành phố Hội An,"0,15×g","0,06×g",Huyện Nông Sơn,"0,15×g","0,06×g"
Thị xã Điện Bàn,"0,15×g","0,06×g",Huyện Núi Thành,"0,08×g","0,03×g"
Huyện Bắc Trà My,"0,30×g","0,12×g",Huyện Phú Ninh,"0,13×g","0,06×g"
Huyện Duy Xuyên,"0,15×g","0,06×g",Huyện Phước Sơn,"0,23×g","0,09×g"
Huyện Đại Lộc,"0,15×g","0,06×g",Huyện Quế Sơn,"0,23×g","0,08×g"
Huyện Đông Giang,"0,15×g","0,06×g",Huyện Tây Giang,"0,15×g","0,06×g"
Huyện Hiệp Đức,"0,45×g","0,17×g",Huyện Thăng Bình,"0,14×g","0,06×g"
Huyện Nam Trà My,"0,30×g","0,12×g",Huyện Tiên Phước,"0,15×g","0,06×g"
48. Quảng Ngãi,,,,,
Thành phố Quảng Ngãi,"0,13×g","0,06×g",Huyện Nghĩa Hành,"0,15×g","0,06×g"
Huyện Ba Tơ,"0,16×g","0,06×g",Huyện Sơn Hà,"0,15×g","0,06×g"
Huyện Bình Sơn,"0,14×g","0,06×g",Huyện Sơn Tây,"0,08×g","0,03×g"
Huyện Đức Phổ,"0,18×g","0,06×g",Huyện Sơn Tịnh,"0,23×g","0,09×g"
Huyện Lý Sơn,"0,07×g","0,03×g",Huyện Tây Trà,"0,13×g","0,06×g"
Huyện Minh Long,"0,08×g","0,03×g",Huyện Trà Bồng,"0,13×g","0,06×g"
Huyện Mộ Đức,"0,15×g","0,06×g",Huyện Tư Nghĩa,"0,15×g","0,06×g"
49. Quảng Ninh,,,,,
Thành phố Hạ Long,"0,38×g","0,15×g",Thành phố Móng Cái,"0,23×g","0,09×g"
Thành phố Cẩm Phả,"0,30×g","0,13×g",Thành phố Uông Bí,"0,45×g","0,18×g"
Thị xã Quảng Yên,"0,45×g","0,19×g",Huyện Đông Triều,"0,45×g","0,19×g"
Huyện Ba Chẽ,"0,38×g","0,15×g",Huyện Hải Hà,"0,15×g","0,06×g"
Huyện Bình Liêu,"0,15×g","0,06×g",Huyện Tiên Yên,"0,20×g","0,09×g"
Huyện Cô Tô,"0,08×g","0,03×g",Huyện Vân Đồn,"0,23×g","0,09×g"
Huyện Đầm Hà,"0,13×g","0,06×g",,,
50. Quảng Trị,,,,,
Thành phố Đông Hà,"0,15×g","0,06×g",Huyện Gio Linh,"0,15×g","0,06×g"
Thị xã Quảng Trị,"0,15×g","0,06×g",Huyện Hướng Hóa,"0,15×g","0,06×g"
Huyện Cam Lộ,"0,15×g","0,06×g",Huyện Hải Lăng,"0,15×g","0,06×g"
Huyện Cồn Cỏ,"0,25×g","0,09×g",Huyện Triệu Phong,"0,15×g","0,06×g"
Huyện Đa Krông,"0,15×g","0,06×g",Huyện Vĩnh Linh,"0,15×g","0,06×g"
51. Sóc Trăng,,,,,
Thành phố Sóc Trăng,"0,08×g","0,03×g",Huyện Long Phú,"0,15×g","0,06×g"
Thị xã Vĩnh Châu,"0,06×g","0,03×g",Huyện Mỹ Tú,"0,08×g","0,03×g"
Thị xã Ngã Năm,"0,08×g","0,03×g",Huyện Mỹ Xuyên,"0,08×g","0,03×g"
Huyện Châu Thành,"0,08×g","0,03×g",Huyện Thạnh Trị,"0,08×g","0,03×g"
Huyện Cù Lao Dung,"0,15×g","0,06×g",Huyện Trần Đề,"0,08×g","0,03×g"
Huyện Kế Sách,"0,15×g","0,06×g",,,
52. Sơn La,,,,,
Thành phố Sơn La,"0,68×g","0,26×g",Huyện Quỳnh Nhai,"0,45×g","0,19×g"
Huyện Bắc Yên,"0,26×g","0,12×g",Huyện Sông Mã,"0,53×g","0,20×g"
Huyện Mai Sơn,"0,68×g","0,25×g",Huyện Sốp Cộp,"0,40×g","0,18×g"
Huyện Mộc Châu,"0,83×g","0,35×g",Huyện Thuận Châu,"0,83×g","0,32×g"
Huyện Mường La,"0,38×g","0,16×g",Huyện Vân Hồ,"0,75×g","0,31×g"
Huyện Phù Yên,"0,25×g","0,13×g",Huyện Yên Châu,"0,75×g","0,28×g"
53. Tây Ninh,,,,,
Thành phố Tây Ninh,"0,15×g","0,06×g",Huyện Hòa Thành,"0,15×g","0,06×g"
Huyện Bến Cầu,"0,23×g","0,08×g",Huyện Tân Biên,"0,13×g","0,06×g"
Huyện Châu Thành,"0,13×g","0,06×g",Huyện Tân Châu,"0,13×g","0,06×g"
Huyện Dương Minh Châu,"0,15×g","0,06×g",Huyện Trảng Bàng,"0,12×g","0,06×g"
Huyện Gò Dầu,"0,15×g","0,06×g",,,
54. Thái Bình,,,,,
Thành phố Thái Bình,"0,38×g","0,17×g",Huyện Quỳnh Phụ,"0,21×g","0,08×g"
Huyện Đông Hưng,"0,27×g","0,12×g",Huyện Thái Thụy,"0,23×g","0,09×g"
Huyện Hưng Hà,"0,37×g","0,19×g",Huyện Tiền Hải,"0,25×g","0,13×g"
Huyện Kiến Xương,"0,36×g","0,14×g",Huyện Vũ Thư,"0,39×g","0,17×g"
55. Thái Nguyên,,,,,
Thành phố Thái Nguyên,"0,30×g","0,11×g",Huyện Đồng Hỷ,"0,38×g","0,14×g"
Thành phố Phổ Yên,"0,26×g","0,13×g",Huyện Phú Bình,"0,23×g","0,09×g"
Thị xã Sông Công,"0,26×g","0,12×g",Huyện Phú Lương,"0,38×g","0,15×g"
Huyện Đại Từ,"0,45×g","0,18×g",Huyện Võ Nhai,"0,15×g","0,06×g"
Huyện Định Hóa,"0,14×g","0,06×g",,,
56. Thanh Hóa,,,,,
Thành phố Thanh Hóa,"0,53×g","0,20×g",Huyện Hậu Lộc,"0,75×g","0,30×g"
Thành phố Sầm Sơn,"0,37×g","0,17×g",Huyện Hoằng Hóa,"0,75×g","0,32×g"
Thị xã Bỉm Sơn,"0,68×g","0,28×g",Huyện Lang Chánh,"0,37×g","0,18×g"
Thị xã Nghi Sơn,"0,38×g","0,19×g",Huyện Mường Lát,"0,53×g","0,22×g"
Huyện Bá Thước,"0,68×g","0,25×g",Huyện Nga Sơn,"0,60×g","0,25×g"
Huyện Cẩm Thủy,"0,75×g","0,30×g",Huyện Ngọc Lặc,"0,37×g","0,18×g"
Huyện Đông Sơn,"0,39×g","0,18×g",Huyện Như Thanh,"0,39×g","0,19×g"
Huyện Hà Trung,"0,83×g","0,33×g",Huyện Như Xuân,"0,36×g","0,16×g"
Huyện Nông Cống,"0,39×g","0,18×g",Huyện Triệu Sơn,"0,38×g","0,18×g"
Huyện Quan Hóa,"0,43×g","0,22×g",Huyện Thường Xuân,"0,38×g","0,19×g"
Huyện Quan Sơn,"0,35×g","0,16×g",Huyện Thọ Xuân,"0,37×g","0,17×g"
Huyện Quảng Xương,"0,37×g","0,19×g",Huyện Vĩnh Lộc,"0,83×g","0,32×g"
Huyện Thạch Thành,"0,75×g","0,30×g",Huyện Yên Định,"0,68×g","0,27×g"
Huyện Thiệu Hóa,"0,53×g","0,22×g",,,
57. Thừa Thiên Huế,,,,,
Thành phố Huế,"0,23×g","0,09×g",Huyện Phong Điền,"0,23×g","0,10×g"
Thị xã Hương Thủy,"0,30×g","0,12×g",Huyện Phú Lộc,"0,15×g","0,06×g"
Thị xã Hương Trà,"0,23×g","0,09×g",Huyện Phú Vang,"0,30×g","0,12×g"
Huyện A Lưới,"0,15×g","0,06×g",Huyện Quảng Điền,"0,23×g","0,09×g"
Huyện Nam Đông,"0,30×g","0,12×g",,,
58. Tiền Giang,,,,,
Thành phố Mỹ Tho,"0,08×g","0,03×g",Huyện Chợ Gạo,"0,08×g","0,03×g"
Thị xã Cai Lậy,"0,08×g","0,03×g",Huyện Gò Công Tây,"0,15×g","0,06×g"
Thị xã Gò Công,"0,13×g","0,06×g",Huyện Gò Công Đông,"0,15×g","0,06×g"
Huyện Cái Bè,"0,08×g","0,03×g",Huyện Tân Phước,"0,08×g","0,03×g"
Huyện Cai Lậy,"0,08×g","0,03×g",Huyện Tân Phú Đông,"0,15×g","0,06×g"
Huyện Châu Thành,"0,08×g","0,03×g",,,
59. Trà Vinh,,,,,
Thành phố Trà Vinh,"0,08×g","0,03×g",Huyện Cầu Ngang,"0,08×g","0,03×g"
"Thị xã, huyện Duyên Hải","0,15×g","0,06×g",Huyện Châu Thành,"0,08×g","0,03×g"
Huyện Càng Long,"0,08×g","0,03×g",Huyện Trà Cú,"0,13×g","0,06×g"
Huyện Cầu Kè,"0,15×g","0,06×g",Huyện Tiểu Cần,"0,15×g","0,06×g"
60. Tuyên Quang,,,,,
Thành phố Tuyên Quang,"0,19×g","0,09×g",Huyện Na Hang,"0,14×g","0,06×g"
Huyện Chiêm Hóa,"0,15×g","0,06×g",Huyện Sơn Dương,"0,23×g","0,09×g"
Huyện Hàm Yên,"0,23×g","0,08×g",Huyện Yên Sơn,"0,27×g","0,12×g"
Huyện Lâm Bình,"0,12×g","0,06×g",,,
61. Vĩnh Long,,,,,
Thành phố Vĩnh Long,"0,08×g","0,03×g",Huyện Tam Bình,"0,15×g","0,06×g"
Thị xã Bình Minh,"0,13×g","0,06×g",Huyện Trà Ôn,"0,13×g","0,06×g"
Huyện Long Hồ,"0,08×g","0,03×g",Huyện Vũng Liêm,"0,08×g","0,03×g"
Huyện Mang Thít,"0,08×g","0,03×g",Huyện Bình Tân,"0,15×g","0,06×g"
62. Vĩnh Phúc,,,,,
Thành phố Vĩnh Yên,"0,30×g","0,15×g",Huyện Tam Dương,"0,29×g","0,13×g"
Thành phố Phúc Yên,"0,25×g","0,12×g",Huyện Tam Đảo,"0,30×g","0,13×g"
Huyện Bình Xuyên,"0,27×g","0,12×g",Huyện Vĩnh Tường,"0,53×g","0,21×g"
Huyện Lập Thạch,"0,36×g","0,16×g",Huyện Yên Lạc,"0,38×g","0,17×g"
Huyện Sông Lô,"0,38×g","0,19×g",,,
63. Yên Bái,,,,,
Thành phố Yên Bái,"0,53×g","0,20×g",Huyện Trấn Yên,"0,53×g","0,20×g"
Thị xã Nghĩa Lộ,"0,29×g","0,13×g",Huyện Văn Chấn,"0,30×g","0,12×g"
Huyện Lục Yên,"0,37×g","0,16×g",Huyện Văn Yên,"0,53×g","0,22×g"
Huyện Mù Cang Chải,"0,27×g","0,11×g",Huyện Yên Bình,"0,53×g","0,20×g"
Huyện Trạm Tấu,"0,30×g","0,13×g",,,
