STT,Loại kết cấu,Tiêu chí phân cấp,Cấp công trình,Cấp công trình,Cấp công trình,Cấp công trình,Cấp công trình,Cấp công trình
STT,Loại kết cấu,Tiêu chí phân cấp,Đặc biệt,I,II,III,IV
2.10,"2.10.4 Cống cáp, hào, tuy nen (sử dụng trong: công trình thông tin, truyền thông; hầm dạng tuy nen kỹ thuật trong các nhà máy) Đối với cống cáp, hào, tuy nen tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","2.10.4 Cống cáp, hào, tuy nen (sử dụng trong: công trình thông tin, truyền thông; hầm dạng tuy nen kỹ thuật trong các nhà máy) Đối với cống cáp, hào, tuy nen tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","2.10.4 Cống cáp, hào, tuy nen (sử dụng trong: công trình thông tin, truyền thông; hầm dạng tuy nen kỹ thuật trong các nhà máy) Đối với cống cáp, hào, tuy nen tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","2.10.4 Cống cáp, hào, tuy nen (sử dụng trong: công trình thông tin, truyền thông; hầm dạng tuy nen kỹ thuật trong các nhà máy) Đối với cống cáp, hào, tuy nen tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","2.10.4 Cống cáp, hào, tuy nen (sử dụng trong: công trình thông tin, truyền thông; hầm dạng tuy nen kỹ thuật trong các nhà máy) Đối với cống cáp, hào, tuy nen tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","2.10.4 Cống cáp, hào, tuy nen (sử dụng trong: công trình thông tin, truyền thông; hầm dạng tuy nen kỹ thuật trong các nhà máy) Đối với cống cáp, hào, tuy nen tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","2.10.4 Cống cáp, hào, tuy nen (sử dụng trong: công trình thông tin, truyền thông; hầm dạng tuy nen kỹ thuật trong các nhà máy) Đối với cống cáp, hào, tuy nen tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV.","2.10.4 Cống cáp, hào, tuy nen (sử dụng trong: công trình thông tin, truyền thông; hầm dạng tuy nen kỹ thuật trong các nhà máy) Đối với cống cáp, hào, tuy nen tổng chiều dài ≤1.000 m: Sau khi xác định cấp công trình theo mục này thì hạ xuống một cấp nhưng không thấp hơn cấp IV."
2.10,"a) Hào kỹ thuật, cống cáp",Bề rộng thông thủy (m),,,,">0,7","≤0,7"
2.10,b) Tuy nen kỹ thuật Hầm dạng tuy nen kỹ thuật trong các nhà máy không lớn hơn cấp I,Bề rộng thông thủy (m),>7,>3 ÷ 7,≤3,,
2.10,"2.10.5 Đường ống dẫn dầu, dẫn khí đốt",a) Đường kính trong của ống (mm),,≥300,<300,,
2.10,"2.10.5 Đường ống dẫn dầu, dẫn khí đốt",b) Vị trí xây dựng,,Dưới biển,Dưới sông,Trên đất liền,
2.11,Cảng biển,Cảng biển,Cảng biển,Cảng biển,Cảng biển,Cảng biển,Cảng biển,Cảng biển
2.11,"2.11.1 Công trình ven biển: Bến cảng biển; khu vực neo đậu chuyển tải, tránh trú bão; cầu cảng biển.",a) Chiều cao bến (m),>20,>15 ÷ 20,>10 ÷ 15,>5 ÷ 10,≤5
2.11,"2.11.1 Công trình ven biển: Bến cảng biển; khu vực neo đậu chuyển tải, tránh trú bão; cầu cảng biển.",b) Diện tích mặt bến cảng (nghìn m2),,≥20,>10 ÷ <20,1 ÷ 10,<1
2.11,"2.11.2 Các kết cấu chỉnh trị cửa biển, ven biển (đê chắn sóng, đê chắn cát, kè hướng dòng, kè bảo vệ bờ...) 2.11.3 Bến phà, cảng và cầu cảng ngoài đảo, bến cảng chuyên dụng, công trình trên biển (bến phao, đê thủy khí, bến cảng nổi đa năng...)",Chiều cao lớn nhất của công trình (m),>16,>12 ÷ 16,>8 ÷ 12,>5 ÷ 8,≤5
2.12,Cảng đường thủy nội địa,Cảng đường thủy nội địa,Cảng đường thủy nội địa,Cảng đường thủy nội địa,Cảng đường thủy nội địa,Cảng đường thủy nội địa,Cảng đường thủy nội địa,Cảng đường thủy nội địa
2.12,"2.12.1 Cảng, bến hàng hóa, bến hành khách, cầu cảng đường thủy nội địa",a) Chiều cao bến (m) hoặc chiều cao công trình (m),,>8,>5 ÷ 8,>3 ÷ 5,≤3
2.12,"2.12.1 Cảng, bến hàng hóa, bến hành khách, cầu cảng đường thủy nội địa",b) Diện tích mặt bến (nghìn m2),,≥10,5 ÷ <10,1 ÷ <5,<1
2.12,2.12.2 Các kết cấu chỉnh trị trong sông,Chiều cao lớn nhất của công trình (m),,>8,>5 ÷ 8,>3 ÷ 5,≤3
2.13,Âu tàu,Độ sâu mực nước (m),>20,>15 ÷ 20,>10 ÷ 15,>5 ÷ 10,≤5
2.14,"Kết cấu quy mô nhỏ, lẻ khác","Kết cấu quy mô nhỏ, lẻ khác","Kết cấu quy mô nhỏ, lẻ khác","Kết cấu quy mô nhỏ, lẻ khác","Kết cấu quy mô nhỏ, lẻ khác","Kết cấu quy mô nhỏ, lẻ khác","Kết cấu quy mô nhỏ, lẻ khác","Kết cấu quy mô nhỏ, lẻ khác"
2.14,"2.14.1 Phục vụ cho lắp đặt các trò chơi mạo hiểm có ảnh hưởng đến an toàn cộng đồng (tàu lượn, tháp, trụ thép, máng trượt nước, kết cấu thép đỡ thiết bị trò chơi,...)",Tổng chiều cao bao gồm công trình và phần thiết bị công nghệ gắn vào công trình (m),,,>15,≤15,
2.14,"2.14.2 Hàng rào, tường rào; Lan can bảo vệ và kết cấu tương tự khác",Chiều cao (m),,,,>6,≤6
2.14,"2.14.3 Khối xây gạch/đá/bê tông hoặc tấm bê tông để làm các kết cấu nhỏ lẻ như bồn hoa, bia, mộ, mốc quan trắc (trên đất liền)… và các kết cấu có quy mô nhỏ, lẻ khác: cấp IV.","2.14.3 Khối xây gạch/đá/bê tông hoặc tấm bê tông để làm các kết cấu nhỏ lẻ như bồn hoa, bia, mộ, mốc quan trắc (trên đất liền)… và các kết cấu có quy mô nhỏ, lẻ khác: cấp IV.","2.14.3 Khối xây gạch/đá/bê tông hoặc tấm bê tông để làm các kết cấu nhỏ lẻ như bồn hoa, bia, mộ, mốc quan trắc (trên đất liền)… và các kết cấu có quy mô nhỏ, lẻ khác: cấp IV.","2.14.3 Khối xây gạch/đá/bê tông hoặc tấm bê tông để làm các kết cấu nhỏ lẻ như bồn hoa, bia, mộ, mốc quan trắc (trên đất liền)… và các kết cấu có quy mô nhỏ, lẻ khác: cấp IV.","2.14.3 Khối xây gạch/đá/bê tông hoặc tấm bê tông để làm các kết cấu nhỏ lẻ như bồn hoa, bia, mộ, mốc quan trắc (trên đất liền)… và các kết cấu có quy mô nhỏ, lẻ khác: cấp IV.","2.14.3 Khối xây gạch/đá/bê tông hoặc tấm bê tông để làm các kết cấu nhỏ lẻ như bồn hoa, bia, mộ, mốc quan trắc (trên đất liền)… và các kết cấu có quy mô nhỏ, lẻ khác: cấp IV.","2.14.3 Khối xây gạch/đá/bê tông hoặc tấm bê tông để làm các kết cấu nhỏ lẻ như bồn hoa, bia, mộ, mốc quan trắc (trên đất liền)… và các kết cấu có quy mô nhỏ, lẻ khác: cấp IV.","2.14.3 Khối xây gạch/đá/bê tông hoặc tấm bê tông để làm các kết cấu nhỏ lẻ như bồn hoa, bia, mộ, mốc quan trắc (trên đất liền)… và các kết cấu có quy mô nhỏ, lẻ khác: cấp IV."
